Date,AAPL,BA,CVX,JNJ,MCD,MMM,MRK,NIKE,PFE
02.01.1980,0.095495,1.887721,1.540306,0.606842,0.504497,1.687597,0.538131,0.129549,0.210424
03.01.1980,0.095495,1.911495,1.543855,0.607831,0.503021,1.619411,0.545737,0.129549,0.210424
04.01.1980,0.095495,2.096938,1.536757,0.616726,0.510397,1.619411,0.549540,0.129549,0.218139
07.01.1980,0.095495,2.173017,1.536757,0.615738,0.505972,1.627934,0.554294,0.129549,0.218139
08.01.1980,0.095495,2.206303,1.550953,0.640446,0.513348,1.687597,0.570457,0.129549,0.228660
09.01.1980,0.095495,2.149242,1.536757,0.630562,0.522198,1.683335,0.566653,0.129549,0.223750
10.01.1980,0.095495,2.187281,1.533208,0.629574,0.536950,1.700382,0.572359,0.129549,0.220945
11.01.1980,0.095495,2.187281,1.522560,0.625621,0.529574,1.696120,0.555245,0.129549,0.223750
14.01.1980,0.095495,2.206303,1.522560,0.617714,0.528098,1.674813,0.559048,0.129549,0.223750
15.01.1980,0.095495,2.306156,1.533208,0.618703,0.523673,1.644981,0.553343,0.129549,0.218139
16.01.1980,0.095495,2.301402,1.540306,0.614749,0.526624,1.636458,0.552393,0.129549,0.212528
17.01.1980,0.095495,2.348951,1.543855,0.606842,0.511873,1.619411,0.540033,0.129549,0.215333
18.01.1980,0.095495,2.372724,1.618387,0.602889,0.505972,1.593842,0.536229,0.129549,0.215333
21.01.1980,0.095495,2.453559,1.685818,0.610796,0.507447,1.610889,0.537180,0.129549,0.215333
22.01.1980,0.095495,2.386991,1.678720,0.606842,0.498596,1.632195,0.532427,0.129549,0.212528
23.01.1980,0.095495,2.510619,1.710663,0.610796,0.504497,1.679074,0.534328,0.129549,0.215333
24.01.1980,0.095495,2.472579,1.735506,0.606842,0.526624,1.704643,0.534328,0.129549,0.212528
25.01.1980,0.095495,2.515375,1.731956,0.600912,0.525149,1.691859,0.532427,0.129549,0.212528
28.01.1980,0.095495,2.581944,1.760350,0.608819,0.533999,1.704643,0.529575,0.129549,0.210424
29.01.1980,0.095495,2.539150,1.735506,0.600912,0.526624,1.696120,0.523870,0.129549,0.210424
